Article title,Newspaper,Writing date,Body,Article link,Thumbnail link
"삼성전자 공장 간 중기CEO들…""혁신 노하우 직접 체감""",뉴시스언론사 선정,1일 전,,http://www.newsis.com/view/?id=NISX20230907_0002441246&cID=10433&pID=13000,
"[단독] ""삼성도 공시 준비 안돼""…시스템 갖춘 곳 14%뿐",서울경제언론사 선정,3시간 전,,https://www.sedaily.com/NewsView/29ULSFRUI4,
삼성전자-LG전자 손잡은 ‘IFA 2023’,주간동아언론사 선정,10시간 전,,https://weekly.donga.com/3/all/11/4413334/1,
"""429만원 명품폰 대박""...삼성'갤Z폴드5 톰브라운 에디션' 공개",머니투데이언론사 선정,1일 전,,http://news.mt.co.kr/mtview.php?no=2023090708482665555,
EU ‘빅테크 규제법’삼성만 제외됐다,서울신문언론사 선정,1면 1단,,https://www.seoul.co.kr/news/newsView.php?id=20230907001006&wlog_tag3=naver,
삼성전자보다 큰 덩치 中 ‘텐센트’…자체 AI 모델 공개,이코노미스트언론사 선정,1시간 전,,https://economist.co.kr/article/view/ecn202309080045,
中 공직사회 아이폰 퇴출령 후폭풍…삼성폰 반사이익 얻을까,뉴시스언론사 선정,6시간 전,,http://www.newsis.com/view/?id=NISX20230908_0002442924&cID=13005&pID=13100,
"""단기 '8만전자' 가능…삼성전자, 내년 HBM 점유율 48%""",이데일리언론사 선정,12시간 전,,http://www.edaily.co.kr/news/newspath.asp?newsid=01453046635738152,
"삼성, 고성능 SSD '990 PRO' 4TB 출시…최첨단 '8세대 V낸드' 적용",데일리안언론사 선정,1일 전,,https://www.dailian.co.kr/news/view/1270691/?sc=Naver,
"삼성, 2분기도 '반도체 매출 1위' 인텔에 내줘…엔비디아 3위 '쑥쑥'",뉴스1,9시간 전,,https://www.news1.kr/articles/5165210,
